golden:
<extra_id_0>
inference:
#ifdef LIBXML_VERSION >= 20623

#if (LIBXML_VERSION >= 20623)
#ifndef LIBXML_VERSION >= 20623
#if 0
#if defined(XML_VERSION) ||!defined(XML_VERSION) || defined(XML_VERSION)
#ifdef XP_MAC if ((char *)LIBXML_VERSION >= 20623)
#if defined(XML_VERSION) || defined(XML_PRODUCT_FIRST) || defined(XML_XML_VERSION_MULTI)
#if defined(XML_VERSION) || defined(XML_VERSION)
#if LIBXML_VERSION >= ((PRIVATE)20623)
#if LIBXML_VERSION >= 20721
#if LIBXML_VERSION >= 20623 && m_xml_version == XML_VERSION_NAME
#if defined(XP_MAC) || defined(XP_MACOSX) /* XXX */ if (idx  0)  xml_free(idx); return XP_NOT_INITIALIZED;
#if!LIBXML_VERSION_BASE
#if defined(XP_MAC) ||!defined(XP_MACOSX) ||!defined(XP_MACOSX) || defined(XP_MACOSX)
#ifdef XP_MAC if (LIBXML_VERSION >= 20623)
#if defined(XML_MAC) || defined(XML_MACOSX) /* XXX should never be used. */ if (LIBXML_VERSION >= 20623)
#if LIBXML_VERSION >= 20623 || (intern->document)==0)
#if!LIBXML_VERSION_CONSTRUCT
#if __FUNCTION__!= 0
#if defined(XP_MAC) || defined(XP_MACOSX) if (LibXML_VERSION >= 20623)
#if defined(XML_WIN) || defined(XML_WIN) || defined(XML_OS3)
#if LIBXML_VERSION >= 19643
#if!LIBXML_VERSION &20623

<#if LIBXML_VERSION >= 20623
#if!LIBXML_VERSION 20623
#if defined(XP_MAC) || defined(XP_MACOSX) <char* spec; PRUnichar* spec; PRUnichar* spec;
#if defined(XP_MAC) || defined(XP_MACOSX) &#if defined(XP_MACOSX) || defined(XP_MACOSX)
#if defined(XP_MAC) || defined(XP_MACOSX) /* XXX */ if (idx &0) &xml_free(idx); return XP_NOT_INITIALIZED;
#if defined(XP_MAC) || defined(XP_MACOSX) &if (!XP_MACOSX) return; if (LIBXML_VERSION >= 20623)
#if defined(XP_MAC) || defined(XP_MACOSX) if (!XP_MACOSX) return; if (LIBXML_VERSION >= 20623)
#if defined(XP_MAC) || defined(XP_MACOSX) /* XXX */ if (idx <0) xml_free(idx); return XP_NOT_INITIALIZED;
#if 0 &LIBXML_VERSION >= 20623
#if LIBXML_VERSION >= 20623 && id char_number
#if (LIBXML_VERSION >= 20623)
#if defined(XP_MAC) || defined(XP_MACOSX) /* XXX */ if (idx &0) <xml_free(idx); return XP_NOT_INITIALIZED;
&#if LIBXML_VERSION >= 20623
#if defined(XP_MAC) || defined(XP_MACOSX) <struct i18n_doc_props_ptrnsIDOMNode> node; if (dom_document_class_entry == NS_STATIC_CAST(int)node->document);
#if!LIBXML_VERSION <20623
#if defined(XP_MAC) || defined(XP_MACOSX) <struct i18n_doc_props_ptr<nsIDOMNode> node; if (dom_document_class_entry == NS_STATIC_CAST(int)node->document);
#if defined(XP_MAC) || defined(XP_MACOSX) &struct i18n_doc_props_ptrnsIDOMNode> node; if (dom_document_class_entry == NS_STATIC_CAST(int)node->document);
#if defined(XP_MAC) || defined(XP_MACOSX) <struct i18n_doc_props_ptr&nsIDOMNode> node; if (dom_document_class_entry == NS_STATIC_CAST(int)node->document);
#if defined(XP_MAC) || defined(XP_MACOSX) /* XXX */ if (idx <0) &xml_free(idx); return XP_NOT_INITIALIZED;
#ifdef LIBXML_VERSION >= 20623
#if defined(XP_MAC) || defined(XP_MACOSX) /* XXX */ if (idx &0) xml_free(idx); return XP_NOT_INITIALIZED;
#if LIBXML_VERSION >= 20623
#if defined(XP_MAC) || defined(XP_MACOSX) &char* spec; PRUnichar* spec; PRUnichar* spec;
#if LIBXML_VERSION &= 20623
#if defined(XP_MAC) || defined(XP_MACOSX) /* XXX */ if (idx 0) &xml_free(idx); return XP_NOT_INITIALIZED;
#if defined(XP_MAC) || defined(XP_MACOSX) struct i18n_doc_props_ptr<nsIDOMNode> node; if (dom_document_class_entry == NS_STATIC_CAST(int)node->document);
#if LIBXML_VERSION >= 20623
#if defined(XP_MAC) || defined(XP_MACOSX) #if defined(XP_MACOSX) || defined(XP_MACOSX)
#if defined(XP_MAC) || defined(XP_MACOSX) struct i18n_doc_props_ptr&nsIDOMNode> node; if (dom_document_class_entry == NS_STATIC_CAST(int)node->document);
if (LIBXML_VERSION >= 20623)
#if defined(XP_MAC) || defined(XP_MACOSX) /* XXX */ if (idx 0) xml_free(idx); return XP_NOT_INITIALIZED;
#if defined(XP_MAC) || defined(XP_MACOSX) &struct i18n_doc_props_ptr<nsIDOMNode> node; if (dom_document_class_entry == NS_STATIC_CAST(int)node->document);
#if defined(XP_MAC) || defined(XP_MACOSX) <if (!XP_MACOSX) return; if (LIBXML_VERSION >= 20623)
#if defined(XP_MAC) || defined(XP_MACOSX) <#if defined(XP_MACOSX) || defined(XP_MACOSX)
#if defined(XP_MAC) || defined(XP_MACOSX) &struct i18n_doc_props_ptr&nsIDOMNode> node; if (dom_document_class_entry == NS_STATIC_CAST(int)node->document);
#if LIBXML_VERSION <= 20623
#if 0 <LIBXML_VERSION >= 20623
#if LIBXML_VERSION = 20623
#if LIBXML_VERSION >= 20623 && id <char_number
#if defined(XP_MAC) || defined(XP_MACOSX) /* XXX */ if (idx <0) <xml_free(idx); return XP_NOT_INITIALIZED;
#if defined(XP_MAC) || defined(XP_MACOSX) struct i18n_doc_props_ptrnsIDOMNode> node; if (dom_document_class_entry == NS_STATIC_CAST(int)node->document);
#if defined(XP_MAC) || defined(XP_MACOSX) char* spec; PRUnichar* spec; PRUnichar* spec;
#if defined(XP_MAC) || defined(XP_MACOSX) /* XXX */ if (idx 0) <xml_free(idx); return XP_NOT_INITIALIZED;
#if LIBXML_VERSION >= 20623 && id &char_number
#if 0 LIBXML_VERSION >= 20623
