golden:
case COND_RESULT_UNSET: return COND_RESULT_UNSET; default: break;
inference:

#endif
return COND_RESULT_FALSE;
/* return COND_RESULT_FALSE; */
config_check_cond_nocache_free(srv);
else  config_check_cond_nocache(srv, con, dc->context_ndx);
if (srv == NULL)  return COND_RESULT_FALSE;
config_check_cond_nocache(srv, con, dc->parent->key, NULL);
if (con->conf.log_condition_handling) TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);
if (con->conf.log_condition_handling)  config_check_cond_cached(srv, con, dc->parent);
if (con->conf.log_condition_handling) config_check_cond_cached(srv, con, dc->parent);
else  config_check_cond_nocache(srv, con, dc->parent->context_ndx);
config_check_cond_cached(srv, con, dc->parent) = COND_RESULT_FALSE;
if (dc->parent) config_check_cond_cached(srv, con, dc->parent);
/* if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;
else if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);
if (con->conf.log_condition_handling == COND_RESULT_FALSE)
else  config_check_cond_nocache(srv, con, dc->parent->key);
config_check_cond_nocache_cache(srv, con, dc->parent);
config_check_cond_nocache(srv, con, dc->context_ndx, NULL);
config_check_cond_cached(srv, con, con->parent->key);
if (config_check_cond_nocache(srv, con, dc->parent->key) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;
if (!con->cond_cache[dc->context_ndx].result)  return COND_RESULT_FALSE;
if (con->conf.log_condition_handling) config_check_cond_cached(srv, con, dc->parent->key);
/* make sure prev is checked first */ config_check_cond_cached(srv, con, dc->parent->key);
if (COND_RESULT_FALSE == con->cond_cache[dc->context_ndx].result) return COND_RESULT_FALSE;
if (config_check_cond_cached(srv, con, dc->parent->key) == COND_RESULT_FALSE)
config_check_cond_nocache_cached(srv, con, dc->parent);
if (dc->parent)  config_check_cond_cached(srv, con, dc->parent);
config_check_cond_nocache(srv, con, con->srv_socket);
default:
if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT)  return COND_RESULT_FALSE;
if (config_check_cond_cached(srv, con) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;
if (config_check_cond_cached(srv, con, dc->context->key) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;
else config_check_cond_nocache(srv, con, dc->parent);
if (config_check_cond_cached(srv, con, dc->prev->key) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;
if (con->conf.log_condition_handling == COND_RESULT_FALSE)  config_check_cond_cached(srv, con, dc->parent->key);
config_check_cond_nocache(srv, con, con->conf.log_condition_handling);
log_error_write(srv, __FILE__, __LINE__, "sb", "go", dc->parent->key);
case COND_RESULT_FALSE: config_check_cond_cached(srv, con, dc->parent);
case COND_RESULT_FALSE: config_check_cond_nocache(srv, con, dc->parent);
if (config_check_cond_nocache(srv, con, dc->parent) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;
if (con->conf.log_condition_handling == COND_RESULT_FALSE)  config_check_cond_cached(srv, con, dc->parent);
continue;
else  config_check_cond_cached(srv, con, dc->parent->key);
case COND_RESULT_FALSE: config_check_cond_cached(srv, con, dc->parent); break;
if (dc->parent) config_check_cond_cached(srv, con, dc->parent->key);
if (COND_RESULT_FALSE == con->cond_cache[con->context_ndx].result)  return COND_RESULT_FALSE;
config_check_cond_nocache_check(srv, con, dc->parent->key);
if (!dc->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);
/* make sure prev is checked first */ config_check_cond_cached(srv, con, dc->context_ndx);
if (con->conf.log_cond_flags & CF_FRAG_FRAG_POLLING)  fprintf(stderr, "cond_cond_nocache: config_check_cond_nocache %dn", con->cond_cache[dc->context_ndx].result); return COND_RESULT_FALSE;  if (dc->dc.debug)  fprintf(stderr, "cond_cond_cache %dn", con->dc->dc.debug); return COND_RESULT_FALSE;
/* freed cache if possible */ if (con->conf.log_cond_handling)  return COND_RESULT_FALSE;  if (dc->prev)  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_FALSE;  if (!con->conditional_is_valid[dc->comp])  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_UNSET;
case COND_RESULT_EXCEPTION: /* * No memory, only * this is a case LOG_COND_LOADING */
if (con->conf.log_condition_handling && con->conf.log_condition_handling->pg)  log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key);
/* check parent first */ if (dc->parent && con->conf.log_condition_handling)  log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key);
if (dc->conf.sock_result)  config_check_cond_nocache(srv, con, dc->parent->context_ndx);
if (con->conf.conf_cond_cache_cond_handling)  log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key);
if (con->conf.conf_conf_state & conf->conf.conf_state)  if (con->conf.conf_conf_flags & SYS_COND_USER_DEC_F_INET)  if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;
case COMP_RESULT_READY: config_check_cond_nocache(srv, con, dc->context_ndx);
if (dc->context_ndx->cache_switch)  config_check_cond_nocache(srv, con, dc->context_ndx->cache_switch);
/* just do a dev */ if (con->conf.d_flags & COND_UNSET)  config_check_cond_nocache(srv, con, con->conf.d_flags & COND_UNSET);
case COND_RESULT_TEST: case COND_RESULT_TEST: if (!con->cond_cache[dc->context_ndx].result)  log_error_write(srv, __FILE__, __LINE__, "sb", "go prev", dc->prev->key);  /* one of prev set me to FALSE */ if (COND_RESULT_FALSE == con->cond_cache[dc->context_ndx].result)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_UNSET;  /* pass the rules */ switch (dc->comp)  case COND_RESULT_FALSE: break;  case COND_RESULT_FALSE: if (con->conf.log
case COND_PREFIX:
/* check the name of a non-zero address. */ if (con->conf.context_ndx == NULL)  /* only need to get the name of the object in the local domain. */ if (con->conf.log_condition_handling == COND_RESULT_FALSE)  if (con->conf.log_condition_handling == COND_RESULT_FALSE)  config_check_cond_cached(srv, con, dc->parent->key);   if (con->conf.log_condition_handling == COND_RESULT_FALSE)  config_check_cond_cached(srv, con, dc->parent->key);   if (dc->prev)  if (dc->prev)  config_check_cond_cached(srv, con, dc->prev);  if (dc->comp == CON
/* if the conditional isn't specified */ if (con->conf.log_condition_handling)  /* the conditions can be created while we haven't clear any problems. */ case COMP_NO_COND: /* the conditions will be changed as well as to make sure we have a cond_cond_cache_saved */
/* pass the rules */ if (COND_RESULT_FALSE == con->cond_cache[dc->context_ndx].result)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);
case COMP_READ_ONLY_STATUS: case COMP_READ_ONLY_STATUS: case COMP_READ_ONLY_STATUS: case COMP_READ_ONLY_STATUS: case COMP_READ_ONLY_STATUS: case COMP_READ_ONLY_STATUS: case COMP_READ_ONLY_STATUS: case COMP_READ_ONLY_STATUS: case COMP_READ_ONLY_STATUS: /* return the rule */ case COMP_READ_ONLY_STATUS: case COMP_READ_ONLY_STATUS: case COMP_READ_ONLY_STATUS: case COMP_READ_ONLY_STATUS: /* return the rule */ case COMP_READ_ONLY_STATUS: case COMP_READ_ONLY_STATUS: case COMP_READ_ONLY_STATUS: case COMP_READ_ONLY_STATUS: case COMP_READ_ONLY_STATUS: case COMP_READ
if (srv == -1)  srv =  &srv->srv_socket;  if (!srv->srv_socket)  if (dc->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", srv->srv_socket, con->srv_socket);  return COND_RESULT_FALSE;
if (con->conf.log_state & COND_RESULT_FALSE)  if (config_check_cond_cached(srv, con, dc->parent->key) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;   if (dc->prev)  if (con->conf.log_state & COND_RESULT_FALSE)  if (con->conf.log_state & COND_RESULT_FALSE)  log_error_write(srv, __FILE__, __LINE__, "sb", "go prev", dc->prev->key);  /* one of prev set me to FALSE */ if (COND_RESULT_FALSE == con->cond_cache[dc->cond_state].result)  log_error_write(srv, __
if (con->conf.verbose)  log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key);  if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;
if (!con->cond_cache[dc->context_ndx].result)  config_check_cond_cached(srv, con, dc->parent);
case COND_RUN:
/* check parent first */ if (con->conf.log_condition_handling)  log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key);
case COND_SUPPORTS_KERB_POLLING: /* check parent first */ if (dc->parent && dc->parent->context_ndx)  if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;   if (dc->prev)  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_FALSE;  if (!con->conditional_is_valid[dc->comp])  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[d
/* make sure dc->prev is checked first */ if (dc->conf.log_condition_handling && con->conf.log_condition_handling)  config_check_cond_cached(srv, con, con->dc->prev); /* one of prev set me to FALSE */ if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_FALSE;   if (dc->dc->srv)  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_FALSE;  if (con->conf.log_condition_hand
/* XXX avoid a bug that happened when */ if (con->conf.pr_pr_pr)  if (!con->cond_cache[con->cond_pr_pr_pr].result)  log_error_write(srv, __FILE__, __LINE__, "sb", "go prev", con->cond_cache[con->cond_pr_pr_pr]);
if (dc->conf.log_conf)  if (con->conf.log_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;
case COND_UNSET: case COND_UNSET:
/* handle connection flags */ if (config_check_cond_flags)  if (con->conf.log_condition_handling)  log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key);  if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;   if (dc->prev)  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_UNSET;  if (dc->prev)  if (config_check_cond_cached(srv, con, dc->parent
/* a check for dc->context_ndx */
if (dc->prev)  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_FALSE;  if (!con->conditional_is_valid[dc->comp])  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_UNSET;
/* if (dc->cond_cache[dc->cond_cache[dc->context_ndx].name)  if (con->conf.log_condition_handling)  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_FALSE;
case COMP_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_COND_NO_COND_COND_NO_COND_NO_COND_COND_NO_COND_NO_COND_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_
if (!con->cond_cache[dc->prev->key].result)  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_FALSE;
if (dc->cache_path == NULL)  if (con->conf.log_queue_handled)  log_error_write(srv, __FILE__, __LINE__, "sb", "go to child", dc->parent->key);
/* not defined */
if (con->conf.log_condition_handling &&!con->cond_cache[dc->context_ndx].result)  if (con->conf.log_condition_handling && con->cond_cache[dc->context_ndx].result)  /* check parent first */ return COND_RESULT_FALSE;  if (dc->parent && con->conf.log_condition_handling)  log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key);  if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;  if (dc->prev)  if (con->conf.log_condition_handling)  TRACE("
if (dc->flags & COND_RESULT_LOCK)  if (con->conf.log_cond_cache[dc->flags & COND_RESULT_LATCH])  if (con->conf.log_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;  if (!con->conditional_is_valid[dc->comp])  if (con->conf.log_cond_cache[dc->comp])  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_UNSET;  if (!con->conditional_is_valid[dc->comp])  if (con->conf.log_cond_cache[dc->context
/* try to free the client's password */ if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;
if (con->conf.conf.log_condition_handling)  /* check if we're going to a parent, or this will work in some case */ config_check_cond_cached(srv, con, dc->parent->key);
#ifdef WIN_INET /* * if the virtual host hasn't been WANTED, we'll have a WANTED session. */ if (dc->socket_events_report_flags & DEBUG_COND)  DEBUG_COND("cond[%d] hasn't WANTED, need to set up the session" "need to return" "one of the WANTED event" "device.noevent.cs.report.cs.report.cs.report.cs.report.cs.report.cs.report.cs.report.cs.report.cs.report.cs.report.cs.report.cs.report.cs.report.cs.report.cs.report.cs.report.cs.report.cs.report.cs.report.cs.report.cs.report
/* check for */
/* if config_check_cond_nocache(srv, con, dc->parent) == COND_RESULT_FALSE)  log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key);
/* check for parent is valid */ if (con->conf.log_condition_handling && con->conf.log_condition_handling && con->conf.log_condition_handling && con->conf.log_condition_handling)  log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", con->parent->key);  if (config_check_cond_cached(srv, con, con->conf.log_condition_handling) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;   if (dc->prev)  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", con->comp, con->conditional_is_valid[dc->prev->key]);  return COND_RESULT_FALSE;
if (!con->cond_cache[dc->context_ndx].result)  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_FALSE;
if (con->conf.log_cond_cache[dc->context_ndx].result)
case _COND_DEC_PROT_COND_NO_ACCESS: /* do we're logging out? */
if (config_check_cond_cached(srv, con, dc->parent->key) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;  if (!con->conditional_is_valid[dc->comp])  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_FALSE;  if (!con->conditional_is_valid[dc->comp])  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_FALSE;
if (srv == -1)  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_FALSE;
/* for sure we have to run config_check_cond_nocache(a p) */ if (p)  return COND_RESULT_FALSE;
if (con->conf.log_condition_handling)  config_check_cond_cached(srv, con, dc->parent); return COND_RESULT_FALSE;
case COMP_DEBUG: log_error_write(srv, __FILE__, __LINE__, "sb", "go prev", dc->parent->key);
/* not a working directory, */ if (dc->debug_config)  if (config_check_cond_cached(srv, con, dc->debug_config) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;
case COND_RESULT_UNSET: if (con->conf.log_condition_handling)  /* pass the rules */ config_check_cond_cached(srv, con, dc->parent->key);
case COMP_COND_UNSET: case COMP_COND_NOT_UNSET:
case ACCESS_ENTRY_HAS_OBSERVER: case ACCESS_INTERVAL_HANDLE: case ACCESS_INTERVAL_HANDLE: case ACCESS_INTERVAL_HANDLE: case ACCESS_INTERVAL_HANDLE: case ACCESS_INTERVAL_HANDLE: case ACCESS_INTERVAL_HANDLE: case ACCESS_INTERVAL_HANDLE: case ACCESS_INTERVAL_HANDLE: case ACCESS_INTERVAL_HANDLE: case ACCESS_INTERVAL_HANDLE: case ACCESS_INTERVAL_HANDLE: case ACCESS_INTERVAL_HANDLE: case ACCESS_INTERVAL_HANDLE: case ACCESS_INTERVAL_HANDLE: case ACCESS_INTERVAL_HANDLE: case ACCESS_INTERVAL_HANDLE: case ACCESS_INTERVAL_HANDLE: case ACCESS_INTERVAL_HANDLE: case ACCESS_INTE
#ifdef MAKE_NO_COND_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_NO_COND_COND_NO_COND_COND_NO_COND_COND_NO_COND_NO_COND_CON
#ifdef XP_MAC if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;  #endif
/* if (con->conf.log_condition_handling == COND_RESULT_FALSE)  log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key);
if (con->conf.get_conditional_type() == COND_RESULT_FALSE)  if (con->conf.get_conditional_type() == COND_RESULT_FALSE)  if (con->conf.get_conditional_type() == COND_RESULT_FALSE)  if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;   if (dc->prev)  if (con->conf.get_conditional_type() == COND_RESULT_FALSE)  log_error_write(srv, __FILE__, __LINE__, "sb", "go prev", dc->prev->key);  if (!con->conditional_is_valid[dc->comp])  if (con->conf
case COND_RESULT_FALSE: if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_FALSE;
/* ensure prev is checked first */
/* one of prev set me to FALSE */ if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_FALSE;
/* XXX: We haven't got any ncache information from the config_check_cond_nocache and we have to be * testing for this purpose. */ if (con->conf.log_condition_handling)  /* try to make sure cond_comp has been checked */ if (!con->cond_cache[dc->prev].result)  /* make sure prev is checked first */ config_check_cond_cache(srv, con, dc->prev); /* one of prev set me to FALSE */ if (COND_RESULT_FALSE == con->cond_cache[dc->prev].result)  config_check_cond_cache(srv, con, dc->prev); /* one of prev set me to FALSE */ if (COND_RESULT_FALSE == con->cond_cache[dc->comp
case COND_STYLE_FORWARD_DEBUG_PRIVATE: case COND_STYLE_PREFIX_NOT_FOUND: case COND_STYLE_PREFIX_NOT_FOUND: case COND_STYLE_PREFIX_NOT_FOUND: case COND_STYLE_PREFIX_NOT_FOUND: case COND_STYLE_PREFIX_NOT_FOUND: case COND_STYLE_PREFIX_NOT_FOUND: case COND_STYLE_PREFIX_NOT_FOUND: case COND_STYLE_PREFIX_NOT_FOUND: case COND_STYLE_PREFIX_NOT_FOUND: case COND_STYLE_PREFIX_NOT_FOUND: case COND_STYLE_PREFIX_NOT_FOUND: case COND_STYLE_PREFIX_NOT_FOUND: case COND_STY
/* not initialized */ if (con->conf.cond_cache[dc->context_ndx].pci_v)  /* we have to allocate the cache to pci. This * doesn't happen yet, if we've just deleted it yet */ if (con->conf.cond_cache[dc->context_ndx].pci_v)  /* get the cache */ if (con->conf.cond_cache[dc->context_ndx].pci_v)  /* get the cache */  /* * Set pci is the pci. It will be used by pci. We don't allow * an internal conflict between prev and pci. */ if (dc->conf.cond_cache[dc->context_ndx].pci_v)  /* make sure prev is checked first */ if (con->conf.cond_cache[d
case COND_RESULT_UNSET: /* check prev is checked first */ if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);
/* * get a dummy case. */ if (!dc->si_is_valid(dc->si_comp))  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_FALSE;   /* get dummy case. */ config_check_cond_cached(srv, con, dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->dc->d
/* * If we have to set a variable, or a variable that is set, use default - to prevent any cases in the next config. */ if (con->conf.comp_state == COND_COND_COND_UNSET)  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_FALSE;  if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);  return COND_RESULT_UNSET;
